project_id,risk_overall,risk_environment_and_social,risk_fiduciary,risk_institutional_capacity,risk_macroeconomic,risk_political_and_governance,risk_sector_strategies_and_policies,risk_stakeholders,risk_technical_design,risk_rating_sequence
P122735,4,4,2,4,2,2,2,4,2,11
P122764,2,2,2,2,1,2,3,2,2,9
P122770,1,2,1,1,1,1,1,1,1,8
P122776,3,3,2,3,3,2,2,2,3,12
P122785,2,1,2,2,2,2,1,1,1,11
P122812,2,2,2,2,2,3,3,2,2,7
P122826,3,2,3,2,2,4,2,2,2,7
P122841,3,2,2,3,2,2,3,2,2,9
P122916,2,1,2,2,3,2,1,2,1,7
P122943,2,2,2,3,2,3,2,2,2,11
P122944,1,1,2,1,2,2,1,1,1,13
P122950,2,2,1,1,1,4,1,2,1,8
P122998,3,1,3,2,3,3,1,2,3,7
P123093,3,3,3,3,3,4,4,4,3,8
P123112,3,3,3,3,2,3,2,2,2,6
P123128,3,1,1,3,2,1,1,2,2,11
P123133,3,3,3,3,2,1,3,1,3,10
P123134,3,3,3,3,2,2,3,2,3,5
P123146,2,2,2,1,2,2,1,1,1,9
P123151,3,1,1,2,1,1,2,4,2,9
P123201,2,2,2,2,3,2,1,1,2,11
P123204,1,3,3,1,1,2,1,2,1,9
P123315,3,2,2,3,2,4,2,2,2,11
P123323,3,2,2,3,1,2,2,2,3,8
P123384,3,3,3,2,2,3,2,2,2,9
P123394,3,2,3,4,4,4,4,3,3,9
P123399,3,1,3,2,3,3,1,1,2,11
P123447,2,2,2,2,2,2,1,2,2,11
P123503,2,1,3,1,3,4,2,1,1,8
P123513,3,2,2,3,4,3,3,3,2,6
P123673,2,1,2,2,2,2,1,2,3,11
P123706,3,2,3,3,3,3,3,2,2,8
P123729,2,2,2,2,2,1,1,1,2,9
P123760,2,1,2,1,2,2,2,2,2,10
P123820,2,1,1,3,2,1,1,1,1,11
P123828,3,2,3,3,2,3,2,3,2,11
P123845,4,1,3,4,4,4,4,4,2,13
P123879,2,1,2,3,2,1,2,3,2,8
P123900,3,2,3,3,3,4,2,1,1,10
P123923,4,1,3,3,3,3,2,4,3,11
P123933,1,1,1,1,1,1,1,1,1,5
P123960,3,2,2,3,3,2,2,2,3,7
P123961,2,2,2,2,2,2,2,1,2,7
P123974,3,2,3,3,4,4,3,3,3,10
P123994,3,1,2,3,2,2,2,1,1,7
P124015,2,1,3,3,2,2,2,2,2,9
P124018,4,3,4,3,3,3,4,4,3,7
P124045,2,2,3,2,2,2,2,2,2,9
P124085,3,2,2,3,3,2,3,3,2,10
P124109,3,2,2,1,3,3,3,1,1,12
P124134,3,2,4,4,3,4,2,2,2,11
P124181,1,1,1,1,1,1,1,1,1,11
P124268,3,2,3,2,3,3,2,2,1,12
P124341,2,1,2,2,3,1,3,2,1,12
P124351,2,2,3,4,2,2,2,1,1,9
P124614,3,2,2,3,2,2,3,2,3,12
P124625,3,1,1,3,2,2,2,2,1,6
P124639,2,2,1,2,1,2,1,2,1,13
P124648,2,2,2,2,3,2,2,1,1,10
P124715,3,3,3,3,3,3,3,2,3,9
P124720,4,4,4,4,4,4,2,3,4,8
P124775,3,3,2,3,1,4,3,2,2,10
P124848,2,3,2,2,2,1,2,2,2,9
P124905,4,2,4,3,4,3,2,3,2,9
P124942,3,3,3,3,3,3,3,1,3,8
P124978,3,2,2,3,3,2,2,3,3,10
P125021,2,2,2,2,1,1,1,1,2,9
P125022,2,1,1,2,1,1,1,2,1,10
P125024,3,3,2,3,4,4,3,2,3,7
P125032,3,2,3,3,2,3,3,2,2,14
P125120,1,1,1,1,2,2,1,1,1,8
P125127,3,2,2,2,4,3,2,4,2,14
P125151,2,3,1,1,2,2,2,2,1,11
P125184,4,4,2,2,3,3,2,3,4,7
P125229,2,1,2,2,4,3,2,4,2,11
P125232,3,1,3,3,2,3,2,3,2,6
P125237,2,2,3,2,3,4,2,2,2,11
P125389,2,2,2,2,2,3,2,2,2,6
P125405,2,2,3,3,2,2,2,2,2,8
P125496,2,2,2,2,1,1,1,1,2,8
P125506,2,1,2,1,2,3,2,3,2,8
P125509,4,2,4,4,2,4,2,4,2,5
P125528,3,1,1,2,1,1,1,2,3,10
P125565,3,4,2,3,2,2,3,2,2,8
P125574,3,3,3,3,4,2,2,1,3,12
P125590,3,4,3,4,3,4,1,3,3,5
P125595,3,3,2,4,3,3,2,2,3,10
P125597,4,2,3,4,4,4,4,4,3,7
P125669,2,2,2,2,2,2,2,1,1,9
P125689,4,1,3,4,2,3,2,4,4,11
P125728,4,4,4,4,2,3,2,4,4,3
P125890,3,1,3,3,3,3,3,2,3,10
P125952,3,2,3,3,2,3,3,2,1,8
P125961,4,2,3,2,3,4,3,3,2,11
